step,sequence_id,pos_in_seq,input_id,seen_in_run,seen_global,active_cells,predicted_cells,tp,fp,fn,precision,recall,f1,active_columns,bursting_columns,sparsity_cells,sparsity_columns,stability_overlap_last,stability_jaccard_last,stability_jaccard_ema,stability_best_window,stability_worst_window,converged,unique_active_cells_ever,unique_active_columns_ever
28,seq0,0,A,8,8,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,320,0.6666666666666666,0.7317073170731707,0.7021276595744681,0.5094339622641509,0,3670,367
29,seq0,1,B,8,8,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,300,0.6,0.6585365853658537,0.6,0.42857142857142855,0,3730,373
30,seq0,2,C,8,8,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.5853658536585366,0.5686274509803921,0.3793103448275862,0,3760,376
31,seq0,3,D,8,8,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.75,0.7391304347826086,0.45454545454545453,0,3770,377
32,seq0,0,A,9,9,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,330,0.7021276595744681,0.7560975609756098,0.7021276595744681,0.5384615384615384,0,3780,378
33,seq0,1,B,9,9,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,290,0.5686274509803921,0.6829268292682927,0.6326530612244898,0.42857142857142855,0,3820,382
34,seq0,2,C,9,9,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.5476190476190477,0.5384615384615384,0.3559322033898305,0,3840,384
35,seq0,3,D,9,9,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.775,0.7391304347826086,0.3793103448275862,0,3860,386
36,seq0,0,A,10,10,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,330,0.7021276595744681,0.775,0.7391304347826086,0.5094339622641509,0,3880,388
37,seq0,1,B,10,10,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,300,0.6,0.7,0.7021276595744681,0.3793103448275862,0,3910,391
38,seq0,2,C,10,10,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.5609756097560976,0.5384615384615384,0.3114754098360656,0,3920,392
39,seq0,3,D,10,10,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,350,0.7777777777777778,0.775,0.7777777777777778,0.42857142857142855,0,3930,393
40,seq0,0,A,11,11,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,350,0.7777777777777778,0.775,0.7777777777777778,0.5384615384615384,0,3970,397
41,seq0,1,B,11,11,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,310,0.6326530612244898,0.725,0.6666666666666666,0.42857142857142855,0,4000,400
42,seq0,2,C,11,11,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,260,0.48148148148148145,0.5853658536585366,0.5384615384615384,0.3793103448275862,0,4020,402
43,seq0,3,D,11,11,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.8,0.8181818181818182,0.40350877192982454,0,4020,402
44,seq0,0,A,12,12,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.775,0.8181818181818182,0.5384615384615384,0,4020,402
45,seq0,1,B,12,12,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,300,0.6,0.725,0.6326530612244898,0.40350877192982454,0,4040,404
46,seq0,2,C,12,12,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.625,0.5686274509803921,0.3793103448275862,0,4050,405
47,seq0,3,D,12,12,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.8,0.8181818181818182,0.3793103448275862,0,4060,406
48,seq0,0,A,13,13,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.8,0.8181818181818182,0.5384615384615384,0,4090,409
49,seq0,1,B,13,13,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,330,0.7021276595744681,0.725,0.7021276595744681,0.42857142857142855,0,4110,411
50,seq0,2,C,13,13,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,300,0.6,0.6097560975609756,0.6,0.3793103448275862,0,4120,412
51,seq0,3,D,13,13,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.85,0.8181818181818182,0.40350877192982454,0,4140,414
52,seq0,0,A,14,14,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,380,0.9047619047619048,0.8,0.9047619047619048,0.5384615384615384,0,4140,414
53,seq0,1,B,14,14,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,310,0.6326530612244898,0.725,0.6326530612244898,0.42857142857142855,0,4190,419
54,seq0,2,C,14,14,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.6097560975609756,0.5384615384615384,0.3559322033898305,0,4190,419
55,seq0,3,D,14,14,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.85,0.8181818181818182,0.40350877192982454,0,4210,421
56,seq0,0,A,15,15,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.825,0.8604651162790697,0.5094339622641509,0,4220,422
57,seq0,1,B,15,15,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,320,0.6666666666666666,0.725,0.6666666666666666,0.42857142857142855,0,4240,424
58,seq0,2,C,15,15,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,270,0.5094339622641509,0.6097560975609756,0.6326530612244898,0.3559322033898305,0,4250,425
59,seq0,3,D,15,15,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,360,0.8181818181818182,0.875,0.8181818181818182,0.3793103448275862,0,4280,428
60,seq0,0,A,16,16,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.825,0.8604651162790697,0.5094339622641509,0,4290,429
61,seq0,1,B,16,16,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,340,0.7391304347826086,0.725,0.7391304347826086,0.40350877192982454,0,4300,430
62,seq0,2,C,16,16,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,280,0.5384615384615384,0.625,0.6,0.3333333333333333,0,4300,430
63,seq0,3,D,16,16,400,0,0,0,400,0.0,0.0,0.0,40,40,0.01953125,0.01953125,370,0.8604651162790697,0.875,0.8604651162790697,0.40350877192982454,0,4300,430
